Countries,Country1-Country2,Country2-Country1
USA-IRQ,101506,47777
USA-RUS,97471,81046
USA-CHN,91230,78679
USA-SYR,88396,32636
USA-GBR,87517,80928
ISR-PSE,87129,78851
USA-ISR,86056,58783
USA-AFG,70555,29208
USA-CAN,66980,61584
USA-IRN,65180,41001
RUS-UKR,58454,43706
USA-PAK,53869,27162
USA-MEX,52153,38186
RUS-SYR,50526,18432
USA-FRA,47434,43146
USA-JPN,46052,41654
USA-EUR,44927,29936
USA-AFR,43473,30442
TUR-SYR,42203,18296
USA-EGY,39027,21066
ZAF-AFR,38194,28362
USA-DEU,37492,35098
AUS-USA,36389,35105
GBR-EUR,36265,20517
PAK-AFG,33830,25082
USA-TUR,33731,23973
USA-PSE,32280,13659
USA-CUB,32186,22152
KOR-PRK,28056,16913
USA-UKR,27758,12793
DEU-EUR,27299,12027
CHN-JPN,25612,23339
USA-PRK,24872,13496
FRA-EUR,23575,10176
FRA-GBR,23326,22342
USA-PHL,22463,18081
IRN-IRQ,22455,17839
USA-ITA,22371,20222
LBN-SYR,21846,14917
IRN-SYR,21769,9165
GBR-SYR,20990,7612
USA-KOR,20679,17646
USA-SAU,19854,15807
EGY-ISR,19123,13586
GBR-IRL,19022,17977
RUS-EUR,18861,16915
USA-ESP,18742,15783
IRN-ISR,17634,15344
USA-VNM,17342,12574