country,latitude,longitude
ABW,12.5,-69.9667
AFG,33,65
AGO,-12.5,18.5
AIA,18.25,-63.1667
ALB,41,20
AND,42.5,1.6
ANT,12.25,-68.75
ARE,24,54
ARG,-34,-64
ARM,40,45
ASM,-14.3333,-170
ATA,-90,0
ATF,-43,67
ATG,17.05,-61.8
AUS,-27,133
AUT,47.3333,13.3333
AZE,40.5,47.5
BDI,-3.5,30
BEL,50.8333,4
BEN,9.5,2.25
BFA,13,-2
BGD,24,90
BGR,43,25
BHR,26,50.55
BHS,24.25,-76
BIH,44,18
BLR,53,28
BLZ,17.25,-88.75
BMU,32.3333,-64.75
BOL,-17,-65
BRA,-10,-55
BRB,13.1667,-59.5333
BRN,4.5,114.6667
BTN,27.5,90.5
BVT,-54.4333,3.4
BWA,-22,24
CAF,7,21
CAN,60,-95
CCK,-12.5,96.8333
CHE,47,8
CHL,-30,-71
CHN,35,105
CIV,8,-5
CMR,6,12
COD,0,25
COG,-1,15
COK,-21.2333,-159.7667
COL,4,-72
COM,-12.1667,44.25
CPV,16,-24
CRI,10,-84
CUB,21.5,-80
CXR,-10.5,105.6667
CYM,19.5,-80.5
CYP,35,33
CZE,49.75,15.5
DEU,51,9
DJI,11.5,43
DMA,15.4167,-61.3333
DNK,56,10
DOM,19,-70.6667
DZA,28,3
ECU,-2,-77.5
EGY,27,30
ERI,15,39
ESH,24.5,-13
ESP,40,-4
EST,59,26
ETH,8,38
FIN,64,26
FJI,-18,175
FLK,-51.75,-59
FRA,46,2
FRO,62,-7
FSM,6.9167,158.25
GAB,-1,11.75
GBR,54,-2
GEO,42,43.5
GGY,49.5,-2.56
GHA,8,-2
GIB,36.1833,-5.3667
GIN,11,-10
GLP,16.25,-61.5833
GMB,13.4667,-16.5667
GNB,12,-15
GNQ,2,10
GRC,39,22
GRD,12.1167,-61.6667
GRL,72,-40
GTM,15.5,-90.25
GUF,4,-53
GUM,13.4667,144.7833
GUY,5,-59
HKG,22.25,114.1667
HMD,-53.1,72.5167
HND,15,-86.5
HRV,45.1667,15.5
HTI,19,-72.4167
HUN,47,20
IDN,-5,120
IMN,54.23,-4.55
IND,20,77
IOT,-6,71.5
IRL,53,-8
IRN,32,53
IRQ,33,44
ISL,65,-18
ISR,31.5,34.75
ITA,42.8333,12.8333
JAM,18.25,-77.5
JEY,49.21,-2.13
JOR,31,36
JPN,36,138
KAZ,48,68
KEN,1,38
KGZ,41,75
KHM,13,105
KIR,1.4167,173
KNA,17.3333,-62.75
KOR,37,127.5
KWT,29.3375,47.6581
LAO,18,105
LBN,33.8333,35.8333
LBR,6.5,-9.5
LBY,25,17
LCA,13.8833,-61.1333
LIE,47.1667,9.5333
LKA,7,81
LSO,-29.5,28.5
LTU,56,24
LUX,49.75,6.1667
LVA,57,25
MAC,22.1667,113.55
MAR,32,-5
MCO,43.7333,7.4
MDA,47,29
MDG,-20,47
MDV,3.25,73
MEX,23,-102
MHL,9,168
MKD,41.8333,22
MLI,17,-4
MLT,35.8333,14.5833
MMR,22,98
MNE,42,19
MNG,46,105
MNP,15.2,145.75
MOZ,-18.25,35
MRT,20,-12
MSR,16.75,-62.2
MTQ,14.6667,-61
MUS,-20.2833,57.55
MWI,-13.5,34
MYS,2.5,112.5
MYT,-12.8333,45.1667
NAM,-22,17
NCL,-21.5,165.5
NER,16,8
NFK,-29.0333,167.95
NGA,10,8
NIC,13,-85
NIU,-19.0333,-169.8667
NLD,52.5,5.75
NOR,62,10
NPL,28,84
NRU,-0.5333,166.9167
NZL,-41,174
OMN,21,57
PAK,30,70
PAN,9,-80
PCN,-24.7,-127.4
PER,-10,-76
PHL,13,122
PLW,7.5,134.5
PNG,-6,147
POL,52,20
PRI,18.25,-66.5
PRK,40,127
PRT,39.5,-8
PRY,-23,-58
PSE,32,35.25
PYF,-15,-140
QAT,25.5,51.25
REU,-21.1,55.6
ROU,46,25
RUS,60,100
RWA,-2,30
SAU,25,45
SDN,15,30
SEN,14,-14
SGP,1.3667,103.8
SGS,-54.5,-37
SHN,-15.9333,-5.7
SJM,78,20
SLB,-8,159
SLE,8.5,-11.5
SLV,13.8333,-88.9167
SMR,43.7667,12.4167
SOM,10,49
SPM,46.8333,-56.3333
SRB,44,21
STP,1,7
SUR,4,-56
SVK,48.6667,19.5
SVN,46,15
SWE,62,15
SWZ,-26.5,31.5
SYC,-4.5833,55.6667
SYR,35,38
TCA,21.75,-71.5833
TCD,15,19
TGO,8,1.1667
THA,15,100
TJK,39,71
TKL,-9,-172
TKM,40,60
TLS,-8.55,125.5167
TON,-20,-175
TTO,11,-61
TUN,34,9
TUR,39,35
TUV,-8,178
TWN,23.5,121
TZA,-6,35
UGA,1,32
UKR,49,32
UMI,19.2833,166.6
URY,-33,-56
USA,38,-97
UZB,41,64
VAT,41.9,12.45
VCT,13.25,-61.2
VEN,8,-66
VGB,18.5,-64.5
VIR,18.3333,-64.8333
VNM,16,106
VUT,-16,167
WLF,-13.3,-176.2
WSM,-13.5833,-172.3333
YEM,15,48
ZAF,-29,24
ZMB,-15,30
ZWE,-20,30