actorA,actorB
ABW,BHS
ABW,CUB
ABW,ESP
ABW,NLD
ABW,USA
ABW,VEN
AFG,AFG
AFG,AGO
AFG,ALB
AFG,ARE
AFG,ARG
AFG,ARM
AFG,AUS
AFG,AUT
AFG,AZE
AFG,BDI
AFG,BEL
AFG,BGD
AFG,BGR
AFG,BHR
AFG,BHS
AFG,BLR
AFG,BRA
AFG,BRB
AFG,BRN
AFG,BTN
AFG,CAN
AFG,CHE
AFG,CHL
AFG,CHN
AFG,COD
AFG,COG
AFG,COL
AFG,CUB
AFG,CZE
AFG,DEU
AFG,DJI
AFG,DNK
AFG,DZA
AFG,ECU
AFG,EGY
AFG,ERI
AFG,ESP
AFG,EST
AFG,ETH
AFG,FIN
AFG,FRA
AFG,FSM
AFG,GBR
AFG,GRC
AFG,GRD
AFG,GUY
AFG,HRV
AFG,HTI
AFG,HUN
AFG,IDN
AFG,IND
AFG,IRL
AFG,IRN
AFG,IRQ
AFG,ISL
AFG,ISR
AFG,ITA
AFG,JAM
AFG,JOR
AFG,JPN
AFG,KAZ
AFG,KEN
AFG,KGZ
AFG,KHM
AFG,KOR
AFG,KWT
AFG,LAO
AFG,LBN
AFG,LBR
AFG,LBY
AFG,LKA
AFG,LTU
AFG,MAR
AFG,MCO
AFG,MDV
AFG,MEX
AFG,MKD
AFG,MLI
AFG,MLT
AFG,MMR
AFG,MRT
AFG,MWI
AFG,MYS
AFG,NER
AFG,NGA
AFG,NIC
AFG,NLD
AFG,NOR
AFG,NPL
AFG,NZL
AFG,OMN
AFG,PAK
AFG,PER
AFG,PHL
AFG,POL
AFG,PRK
AFG,PRT
AFG,PSE
AFG,QAT
AFG,RUS
AFG,RWA
AFG,SAU
AFG,SDN
AFG,SGP
AFG,SLB
AFG,SLE
AFG,SOM
AFG,SRB
AFG,SVK
AFG,SWE
AFG,SYC
AFG,SYR
AFG,TCD
AFG,THA
AFG,TJK
AFG,TKM
AFG,TON
AFG,TUN
AFG,TUR
AFG,UGA
AFG,UKR
AFG,URY
AFG,USA
AFG,UZB
AFG,VCT
AFG,VEN
AFG,VNM
AFG,YEM
AFG,ZAF
AFG,ZMB
AFG,ZWE
AFR,USA
AGO,AFG
AGO,AND
AGO,ARE
AGO,ARG
AGO,AUS
AGO,AUT
AGO,BDI
AGO,BEL
AGO,BEN
AGO,BFA
AGO,BGD
AGO,BGR
AGO,BOL
AGO,BRA
AGO,BWA
AGO,CAF
AGO,CAN
AGO,CHE
AGO,CHN
AGO,CIV
AGO,CMR
AGO,COD
AGO,COG
AGO,COL
AGO,COM
AGO,CPV
AGO,CUB
AGO,CYM
AGO,DEU
AGO,DZA
AGO,ECU
AGO,EGY
AGO,ESP
AGO,ETH
AGO,FIN
AGO,FRA
AGO,GAB
AGO,GBR
AGO,GHA
AGO,GIN
AGO,GNB
AGO,GNQ
AGO,GRC
AGO,IDN
AGO,IRL
AGO,IRN
AGO,IRQ
AGO,ISR
AGO,ITA
AGO,JPN
AGO,KEN
AGO,KGZ
AGO,KOR
AGO,KWT
AGO,LBN
AGO,LBR
AGO,LBY
AGO,LKA
AGO,MAR
AGO,MCO
AGO,MEX
AGO,MLI
AGO,MOZ
AGO,MUS
AGO,MWI
AGO,MYS
AGO,NAM
AGO,NER
AGO,NGA
AGO,NIC
AGO,NLD
AGO,NOR
AGO,NPL
AGO,PAK
AGO,PER
AGO,POL
AGO,PRT
AGO,PSE
AGO,QAT
AGO,RUS
AGO,RWA
AGO,SAF
AGO,SAU
AGO,SDN
AGO,SEN
AGO,SGP
AGO,SLE
AGO,SOM
AGO,SRB
AGO,STP
AGO,SWE
AGO,SYR
AGO,TCD
AGO,TUN
AGO,TUR
AGO,TWN
AGO,TZA
AGO,UGA
AGO,USA
AGO,VNM
AGO,ZAF
AGO,ZMB
AGO,ZWE
AIA,AGO
AIA,AUS
AIA,EGY
AIA,GBR
AIA,IRL
AIA,ISR
AIA,JAM
AIA,LCA
AIA,MDV
AIA,PSE
AIA,USA
ALB,AFG
ALB,ARG
ALB,ARM
ALB,AUS
ALB,AUT
ALB,AZE
ALB,BEL
ALB,BGD
ALB,BGR
ALB,BMU
ALB,BRA
ALB,CAN
ALB,CHE
ALB,CHN
ALB,CUB
ALB,CZE
ALB,DEU
ALB,DNK
ALB,EGY
ALB,ESP
ALB,FIN
ALB,FRA
ALB,GBR
ALB,GHA
ALB,GRC
ALB,HRV
ALB,HUN
ALB,IDN
ALB,IND
ALB,IRL
ALB,IRN
ALB,IRQ
ALB,ISR
ALB,ITA
ALB,JPN
ALB,KWT
ALB,LBN
ALB,MAR
ALB,MCO
ALB,MDA
ALB,MKD
ALB,MLI
ALB,MLT
ALB,MOZ
ALB,NGA
ALB,NLD
ALB,NOR
ALB,NPL
ALB,NZL
ALB,PAK
ALB,PHL
ALB,POL
ALB,RUS
ALB,SAU
ALB,SEN
ALB,SOM
ALB,SRB
ALB,SWE
ALB,SYC
ALB,SYR
ALB,TCD
ALB,THA
ALB,TUN
ALB,TUR
ALB,UGA
ALB,UKR
ALB,USA
ALB,YEM
AND,CAN
AND,ESP
AND,ETH
AND,FJI
AND,FRA
AND,GBR
AND,LIE
AND,LUX
AND,MAR
AND,MLI
AND,USA
AND,YEM
ARE,AFG
ARE,AGO
ARE,ALB
ARE,ARG
ARE,ARM
ARE,AUS
ARE,AUT
ARE,AZE
ARE,BEL
ARE,BFA
ARE,BGD
ARE,BGR
ARE,BHR
ARE,BHS
ARE,BLR
ARE,BMU
ARE,BRA
ARE,BRN
ARE,BWA
ARE,CAN
ARE,CHE
ARE,CHL
ARE,CHN
ARE,COD
ARE,COG
ARE,COL
ARE,CUB
ARE,CYM
ARE,DEU
ARE,DJI
ARE,DMA
ARE,DNK
ARE,DOM
ARE,DZA
ARE,ECU
ARE,EGY
ARE,ERI
ARE,ESP
ARE,ETH
ARE,FIN
ARE,FJI
ARE,FRA
ARE,FSM
ARE,GBR
ARE,GHA
ARE,GIN
ARE,GMB
ARE,GRC
ARE,HRV
ARE,HTI
ARE,HUN
ARE,IDN
ARE,IND
ARE,IRL
ARE,IRN
ARE,IRQ
ARE,ISL
ARE,ISR
ARE,ITA
ARE,JOR
ARE,JPN
ARE,KAZ
ARE,KEN
ARE,KGZ
ARE,KHM
ARE,KNA
ARE,KOR
ARE,KWT
ARE,LAO
ARE,LBN
ARE,LBR
ARE,LBY
ARE,LKA
ARE,LSO
ARE,LUX
ARE,MAR
ARE,MCO
ARE,MDG
ARE,MDV
ARE,MEX
ARE,MLI
ARE,MLT
ARE,MMR
ARE,MNG
ARE,MOZ
ARE,MRT
ARE,MUS
ARE,MWI
ARE,MYS
ARE,NAM
ARE,NGA
ARE,NLD
ARE,NOR
ARE,NPL
ARE,NZL
ARE,OMN
ARE,PAK
ARE,PAN
ARE,PER
ARE,PHL
ARE,POL
ARE,PRT
ARE,PSE
ARE,QAT
ARE,RUS
ARE,RWA
ARE,SAU
ARE,SDN
ARE,SEN
ARE,SGP
ARE,SLB
ARE,SLE
ARE,SOM
ARE,SRB
ARE,SWE
ARE,SWZ
ARE,SYC
ARE,SYR
ARE,TCD
ARE,TGO
ARE,THA
ARE,TJK
ARE,TKM
ARE,TON
ARE,TUN
ARE,TUR
ARE,TUV
ARE,TWN
ARE,TZA
ARE,UGA
ARE,UKR
ARE,USA
ARE,UZB
ARE,VAT
ARE,VCT
ARE,VNM
ARE,VUT
ARE,YEM
ARE,ZAF
ARE,ZMB
ARE,ZWE
ARG,ABW
ARG,AFG
ARG,AGO
ARG,ALB
ARG,ARE
ARG,ARM
ARG,ATG
ARG,AUS
ARG,AUT
ARG,AZE
ARG,BEL
ARG,BGD
ARG,BGR
ARG,BHR
ARG,BLZ
ARG,BMU
ARG,BOL
ARG,BRA
ARG,BRN
ARG,CAN
ARG,CHE
ARG,CHL
ARG,CHN
ARG,COD
ARG,COL
ARG,COM
ARG,CPV
ARG,CRI
ARG,CUB
ARG,CYM
ARG,CYP
ARG,CZE
ARG,DEU
ARG,DOM
ARG,DZA
ARG,ECU
ARG,EGY
ARG,ESP
ARG,FJI
ARG,FRA
ARG,FSM
ARG,GBR
ARG,GHA
ARG,GRC
ARG,GTM
ARG,GUY
ARG,HND
ARG,HRV
ARG,HTI
ARG,IDN
ARG,IND
ARG,IRL
ARG,IRN
ARG,IRQ
ARG,ISR
ARG,ITA
ARG,JOR
ARG,JPN
ARG,KAZ
ARG,KEN
ARG,KHM
ARG,KOR
ARG,KWT
ARG,LBN
ARG,LBR
ARG,LBY
ARG,LKA
ARG,LTU
ARG,LUX
ARG,MAR
ARG,MEX
ARG,MKD
ARG,MOZ
ARG,MYS
ARG,NAM
ARG,NGA
ARG,NIC
ARG,NLD
ARG,NPL
ARG,NZL
ARG,OMN
ARG,PAK
ARG,PAN
ARG,PER
ARG,PHL
ARG,POL
ARG,PRK
ARG,PRT
ARG,PRY
ARG,PSE
ARG,QAT
ARG,RUS
ARG,SAM
ARG,SAU
ARG,SDN
ARG,SGP
ARG,SLV
ARG,SOM
ARG,SVK
ARG,SWE
ARG,SYC
ARG,SYR
ARG,THA
ARG,TJK
ARG,TTO
ARG,TUR
ARG,TWN
ARG,TZA
ARG,UKR
ARG,URY
ARG,USA
ARG,VAT
ARG,VEN
ARG,VNM
ARG,YEM
ARG,ZAF
ARG,ZWE
ARM,AFG
ARM,AGO
ARM,ALB
ARM,ARE
ARM,ARG
ARM,AUS
ARM,AUT
ARM,AZE
ARM,BDI
ARM,BEL
ARM,BGD
ARM,BGR
ARM,BLR
ARM,BOL
ARM,BRA
ARM,CAN
ARM,CHE
ARM,CHN
ARM,COD
ARM,COL
ARM,CUB
ARM,CYP
ARM,CZE
ARM,DEU
ARM,DNK
ARM,EGY
ARM,EST
ARM,ETH
ARM,FIN
ARM,FRA
ARM,FSM
ARM,GBR
ARM,GEO
ARM,GHA
ARM,GIN
ARM,GRC
ARM,GTM
ARM,HND
ARM,HRV
ARM,HTI
ARM,HUN
ARM,IDN
ARM,IND
ARM,IRL
ARM,IRN
ARM,IRQ
ARM,ISR
ARM,ITA
ARM,JPN
ARM,KAZ
ARM,KGZ
ARM,KWT
ARM,LBN
ARM,LBY
ARM,LKA
ARM,LTU
ARM,LUX
ARM,LVA
ARM,MCO
ARM,MDA
ARM,MEX
ARM,MLI
ARM,MLT
ARM,MMR
ARM,MYS
ARM,NLD
ARM,NOR
ARM,NZL
ARM,PAK
ARM,PHL
ARM,POL
ARM,PRT
ARM,PRY
ARM,PSE
ARM,QAT
ARM,RUS
ARM,RWA
ARM,SAU
ARM,SGP
ARM,SRB
ARM,SVK
ARM,SWE
ARM,SYR
ARM,THA
ARM,TJK
ARM,TKM
ARM,TUN
ARM,TUR
ARM,UKR
ARM,URY
ARM,USA
ARM,UZB
ARM,VAT
ARM,ZAF
ARM,ZWE
ASA,USA
ATG,ARE
ATG,AUT
ATG,BRB
ATG,CAN
ATG,CHE
ATG,CHL
ATG,CHN
ATG,COL
ATG,CUB
ATG,CYP
ATG,DMA
ATG,ESP
ATG,FRA
ATG,GBR
ATG,GRD
ATG,GTM
ATG,GUY
ATG,HTI
ATG,IRQ
ATG,ISR
ATG,JAM
ATG,JOR
ATG,JPN
ATG,KNA
ATG,LBY
ATG,LCA
ATG,MEX
ATG,MLT
ATG,PAN
ATG,PNG
ATG,PSE
ATG,SGP
ATG,TTO
ATG,UGA
ATG,UKR
ATG,USA
ATG,VCT
ATG,VEN
AUS,AFG
AUS,AGO
AUS,AIA
AUS,ALB
AUS,ARE
AUS,ARG
AUS,ARM
AUS,ATG
AUS,AUS
AUS,AUT
AUS,BDI
AUS,BEL
AUS,BFA
AUS,BGD
AUS,BGR
AUS,BHR
AUS,BHS
AUS,BLR
AUS,BLZ
AUS,BMU
AUS,BOL
AUS,BRA
AUS,BRB
AUS,BRN
AUS,BTN
AUS,BWA
AUS,CAF
AUS,CAN
AUS,CHE
AUS,CHL
AUS,CHN
AUS,CIV
AUS,CMR
AUS,COD
AUS,COG
AUS,COK
AUS,COL
AUS,CRI
AUS,CUB
AUS,CYM
AUS,CYP
AUS,CZE
AUS,DEU
AUS,DJI
AUS,DNK
AUS,DOM
AUS,DZA
AUS,ECU
AUS,EGY
AUS,ERI
AUS,ESP
AUS,EST
AUS,ETH
AUS,FIN
AUS,FJI
AUS,FRA
AUS,FSM
AUS,GBR
AUS,GHA
AUS,GIN
AUS,GMB
AUS,GRC
AUS,GRD
AUS,GTM
AUS,GUY
AUS,HND
AUS,HRV
AUS,HTI
AUS,HUN
AUS,IDN
AUS,IND
AUS,IRL
AUS,IRN
AUS,IRQ
AUS,ISL
AUS,ISR
AUS,ITA
AUS,JAM
AUS,JOR
AUS,JPN
AUS,KAZ
AUS,KEN
AUS,KGZ
AUS,KHM
AUS,KIR
AUS,KNA
AUS,KOR
AUS,KWT
AUS,LAO
AUS,LBN
AUS,LBR
AUS,LBY
AUS,LCA
AUS,LIE
AUS,LKA
AUS,LTU
AUS,LUX
AUS,LVA
AUS,MAR
AUS,MCO
AUS,MDA
AUS,MDG
AUS,MDV
AUS,MEX
AUS,MHL
AUS,MKD
AUS,MLI
AUS,MLT
AUS,MMR
AUS,MNG
AUS,MOZ
AUS,MRT
AUS,MUS
AUS,MWI
AUS,MYS
AUS,NAM
AUS,NER
AUS,NGA
AUS,NIC
AUS,NLD
AUS,NOR
AUS,NPL
AUS,NRU
AUS,NZL
AUS,OMN
AUS,PAK
AUS,PAN
AUS,PER
AUS,PHL
AUS,PLW
AUS,PNG
AUS,POL
AUS,PRK
AUS,PRT
AUS,PSE
AUS,QAT
AUS,RUS
AUS,RWA
AUS,SAF
AUS,SAU
AUS,SDN
AUS,SEN
AUS,SGP
AUS,SLB
AUS,SLE
AUS,SLV
AUS,SOM
AUS,SRB
AUS,STP
AUS,SVK
AUS,SWE
AUS,SWZ
AUS,SYC
AUS,SYR
AUS,TCD
AUS,THA
AUS,TJK
AUS,TKM
AUS,TON
AUS,TTO
AUS,TUN
AUS,TUR
AUS,TUV
AUS,TWN
AUS,TZA
AUS,UGA
AUS,UKR
AUS,URY
AUS,USA
AUS,UZB
AUS,VAT
AUS,VCT
AUS,VEN
AUS,VNM
AUS,VUT
AUS,WSM
AUS,YEM
AUS,ZAF
AUS,ZMB
AUS,ZWE
AUT,AFG
AUT,AGO
AUT,ALB
AUT,ARE
AUT,ARG
AUT,ARM
AUT,ATG
AUT,AUS
AUT,AZE
AUT,BEL
AUT,BFA
AUT,BGD
AUT,BGR
AUT,BLR
AUT,BOL
AUT,BRA
AUT,BTN
AUT,BWA
AUT,CAF
AUT,CAN
AUT,CHE
AUT,CHL
AUT,CHN
AUT,COD
AUT,COL
AUT,CPV
AUT,CRI
AUT,CUB
AUT,CYM
AUT,CYP
AUT,CZE
AUT,DEU
AUT,DMA
AUT,DNK
AUT,DZA
AUT,ECU
AUT,EGY
AUT,ERI
AUT,ESP
AUT,EST
AUT,ETH
AUT,FIN
AUT,FRA
AUT,FSM
AUT,GBR
AUT,GHA
AUT,GIN
AUT,GRC
AUT,GTM
AUT,GUY
AUT,HRV
AUT,HTI
AUT,HUN
AUT,IDN
AUT,IND
AUT,IRL
AUT,IRN
AUT,IRQ
AUT,ISL
AUT,ISR
AUT,ITA
AUT,JOR
AUT,JPN
AUT,KAZ
AUT,KEN
AUT,KGZ
AUT,KHM
AUT,KOR
AUT,KWT
AUT,LAO
AUT,LBN
AUT,LBY
AUT,LIE
AUT,LKA
AUT,LSO
AUT,LTU
AUT,LUX
AUT,LVA
AUT,MAR
AUT,MCO
AUT,MDA
AUT,MEX
AUT,MKD
AUT,MLI
AUT,MLT
AUT,MMR
AUT,MNG
AUT,MOZ
AUT,MYS
AUT,NGA
AUT,NIC
AUT,NLD
AUT,NOR
AUT,NPL
AUT,NZL
AUT,OMN
AUT,PAK
AUT,PAN
AUT,PHL
AUT,POL
AUT,PRK
AUT,PRT
AUT,PRY
AUT,PSE
AUT,QAT
AUT,RUS
AUT,RWA
AUT,SAU
AUT,SDN
AUT,SGP
AUT,SLE
AUT,SLV
AUT,SOM
AUT,SRB
AUT,SVK
AUT,SWE
AUT,SYR
AUT,TCD
AUT,THA
AUT,TJK
AUT,TKM
AUT,TON
AUT,TUR
AUT,TZA
AUT,UGA
AUT,UKR
AUT,USA
AUT,UZB
AUT,VAT
AUT,VEN
AUT,VNM
AUT,VUT
AUT,WSM
AUT,YEM
AUT,ZAF
AUT,ZWE
AZE,AFG
AZE,AGO
AZE,ALB
AZE,ARE
AZE,ARG
AZE,ARM
AZE,AUS
AZE,AUT
AZE,BEL
AZE,BGR
AZE,BLR
AZE,BRA
AZE,CAN
AZE,CHE
AZE,CHL
AZE,CHN
AZE,COD
AZE,COL
AZE,CUB
AZE,CYM
AZE,CYP
AZE,CZE
AZE,DEU
AZE,EGY
AZE,ESP
AZE,EST
AZE,ETH
AZE,FIN
AZE,FRA
AZE,FSM
AZE,GBR
AZE,GEO
AZE,GHA
AZE,GRC
AZE,GRD
AZE,HRV
AZE,HUN
AZE,IDN
AZE,IND
AZE,IRL
AZE,IRN
AZE,IRQ
AZE,ISR
AZE,ITA
AZE,JOR
AZE,JPN
AZE,KAZ
AZE,KEN
AZE,KGZ
AZE,KOR
AZE,KWT
AZE,LBN
AZE,LBY
AZE,LTU
AZE,LVA
AZE,MDA
AZE,MDV
AZE,MEX
AZE,MKD
AZE,MNG
AZE,MYS
AZE,NER
AZE,NGA
AZE,NLD
AZE,NOR
AZE,NPL
AZE,NZL
AZE,PAK
AZE,PAN
AZE,PER
AZE,PHL
AZE,PNG
AZE,POL
AZE,PRT
AZE,PRY
AZE,PSE
AZE,QAT
AZE,RUS
AZE,SAU
AZE,SDN
AZE,SGP
AZE,SOM
AZE,SRB
AZE,SWE
AZE,SYR
AZE,THA
AZE,TJK
AZE,TKM
AZE,TUN
AZE,TUR
AZE,TWN
AZE,UGA
AZE,UKR
AZE,URY
AZE,USA
AZE,UZB
AZE,VAT
AZE,VCT
AZE,VNM
AZE,YEM
AZE,ZAF
BDI,AFG
BDI,AGO
BDI,AUS
BDI,BEL
BDI,BFA
BDI,CAF
BDI,CAN
BDI,CHE
BDI,CHN
BDI,CIV
BDI,COD
BDI,COG
BDI,COL
BDI,COM
BDI,DEU
BDI,DJI
BDI,EGY
BDI,ERI
BDI,ESP
BDI,ETH
BDI,FRA
BDI,FSM
BDI,GAB
BDI,GBR
BDI,GHA
BDI,GIN
BDI,HTI
BDI,IND
BDI,IRL
BDI,IRQ
BDI,ITA
BDI,JPN
BDI,KEN
BDI,KHM
BDI,LBR
BDI,LBY
BDI,LSO
BDI,MAR
BDI,MDA
BDI,MDG
BDI,MLI
BDI,MMR
BDI,MOZ
BDI,MWI
BDI,MYS
BDI,NAM
BDI,NGA
BDI,NLD
BDI,NOR
BDI,NPL
BDI,PAK
BDI,PHL
BDI,PRK
BDI,PRT
BDI,PRY
BDI,RUS
BDI,RWA
BDI,SAU
BDI,SDN
BDI,SEN
BDI,SLE
BDI,SLV
BDI,SOM
BDI,SWE
BDI,SYC
BDI,TCD
BDI,TZA
BDI,UGA
BDI,USA
BDI,ZAF
BDI,ZMB
BEL,AFG
BEL,AGO
BEL,ALB
BEL,ARE
BEL,ARG
BEL,ARM
BEL,AUS
BEL,AUT
BEL,AZE
BEL,BDI
BEL,BFA
BEL,BGD
BEL,BGR
BEL,BHS
BEL,BLR
BEL,BLZ
BEL,BOL
BEL,BRA
BEL,BRB
BEL,BTN
BEL,BWA
BEL,CAF
BEL,CAN
BEL,CHE
BEL,CHL
BEL,CHN
BEL,CIV
BEL,CMR
BEL,COD
BEL,COG
BEL,COL
BEL,CRI
BEL,CUB
BEL,CYP
BEL,CZE
BEL,DEU
BEL,DNK
BEL,DOM
BEL,DZA
BEL,ECU
BEL,EGY
BEL,ERI
BEL,ESP
BEL,EST
BEL,ETH
BEL,FIN
BEL,FRA
BEL,GAB
BEL,GBR
BEL,GHA
BEL,GIN
BEL,GMB
BEL,GRC
BEL,GRD
BEL,HRV
BEL,HTI
BEL,HUN
BEL,IDN
BEL,IND
BEL,IRL
BEL,IRN
BEL,IRQ
BEL,ISL
BEL,ISR
BEL,ITA
BEL,JAM
BEL,JOR
BEL,JPN
BEL,KAZ
BEL,KEN
BEL,KGZ
BEL,KHM
BEL,KOR
BEL,KWT
BEL,LAO
BEL,LBN
BEL,LBR
BEL,LBY
BEL,LIE
BEL,LKA
BEL,LTU
BEL,LUX
BEL,LVA
BEL,MAR
BEL,MCO
BEL,MDA
BEL,MDG
BEL,MDV
BEL,MEX
BEL,MKD
BEL,MLI
BEL,MLT
BEL,MMR
BEL,MOZ
BEL,MRT
BEL,MWI
BEL,MYS
BEL,NER
BEL,NGA
BEL,NLD
BEL,NOR
BEL,NPL
BEL,NZL
BEL,OMN
BEL,PAK
BEL,PER
BEL,PHL
BEL,PNG
BEL,POL
BEL,PRK
BEL,PRT
BEL,PSE
BEL,QAT
BEL,RUS
BEL,RWA
BEL,SAF
BEL,SAU
BEL,SDN
BEL,SEN
BEL,SGP
BEL,SLE
BEL,SOM
BEL,SRB
BEL,STP
BEL,SVK
BEL,SWE
BEL,SYC
BEL,SYR
BEL,TCD
BEL,TGO
BEL,THA
BEL,TJK
BEL,TUN
BEL,TUR
BEL,TZA
BEL,UGA
BEL,UKR
BEL,USA
BEL,UZB
BEL,VNM
BEL,WSM
BEL,YEM
BEL,ZAF
BEL,ZMB
BEL,ZWE
BEN,AFG
BEN,AGO
BEN,ARE
BEN,BEL
BEN,BFA
BEN,CAF
BEN,CAN
BEN,CHN
BEN,CIV
BEN,CMR
BEN,COD
BEN,COG
BEN,CPV
BEN,CUB
BEN,DEU
BEN,DNK
BEN,ESP
BEN,ETH
BEN,FJI
BEN,FRA
BEN,GAB
BEN,GBR
BEN,GHA
BEN,GIN
BEN,GMB
BEN,GNB
BEN,GNQ
BEN,HTI
BEN,IRL
BEN,ITA
BEN,JOR
BEN,JPN
BEN,KEN
BEN,KHM
BEN,KWT
BEN,LBN
BEN,LBR
BEN,MCO
BEN,MDG
BEN,MDV
BEN,MLI
BEN,MLT
BEN,MWI
BEN,MYS
BEN,NER
BEN,NGA
BEN,NLD
BEN,RWA
BEN,SDN
BEN,SEN
BEN,SLE
BEN,TCD
BEN,TGO
BEN,TZA
BEN,USA
BEN,ZMB
BEN,ZWE
BFA,AFG
BFA,AGO
BFA,ARE
BFA,AUS
BFA,BDI
BFA,BEL
BFA,BEN
BFA,CAF
BFA,CAN
BFA,CHE
BFA,CHN
BFA,CIV
BFA,CMR
BFA,COG
BFA,DEU
BFA,DNK
BFA,EGY
BFA,ESP
BFA,ETH
BFA,FRA
BFA,GAB
BFA,GHA
BFA,GIN
BFA,GMB
BFA,GNB
BFA,GNQ
BFA,HTI
BFA,ITA
BFA,JPN
BFA,LBN
BFA,LBR
BFA,LBY
BFA,LUX
BFA,MDG
BFA,MLI
BFA,MRT
BFA,MWI
BFA,NAM
BFA,NER
BFA,NGA
BFA,NIC
BFA,NLD
BFA,NPL
BFA,PSE
BFA,QAT
BFA,SDN
BFA,SEN
BFA,SLE
BFA,SOM
BFA,SWE
BFA,SWZ
BFA,TCD
BFA,TGO
BFA,TUR
BFA,TWN
BFA,TZA
BFA,UGA
BFA,USA
BFA,VAT
BFA,VEN
BFA,VNM
BFA,ZAF
BFA,ZMB
BFA,ZWE
BGD,AFG
BGD,AGO
BGD,ALB
BGD,ARE
BGD,ARG
BGD,ARM
BGD,ATG
BGD,AUS
BGD,AUT
BGD,BDI
BGD,BEL
BGD,BEN
BGD,BHR
BGD,BLZ
BGD,BRA
BGD,BRB
BGD,BRN
BGD,BTN
BGD,CAF
BGD,CAN
BGD,CHE
BGD,CHN
BGD,CIV
BGD,COD
BGD,COG
BGD,COL
BGD,CUB
BGD,CYM
BGD,CYP
BGD,DEU
BGD,DJI
BGD,DNK
BGD,DZA
BGD,ECU
BGD,EGY
BGD,ESP
BGD,ETH
BGD,FIN
BGD,FJI
BGD,FRA
BGD,GBR
BGD,GHA
BGD,GIN
BGD,GRC
BGD,GTM
BGD,HRV
BGD,HTI
BGD,IDN
BGD,IND
BGD,IRL
BGD,IRN
BGD,IRQ
BGD,ISR
BGD,ITA
BGD,JAM
BGD,JOR
BGD,JPN
BGD,KEN
BGD,KGZ
BGD,KHM
BGD,KIR
BGD,KOR
BGD,KWT
BGD,LBN
BGD,LBR
BGD,LBY
BGD,LKA
BGD,LUX
BGD,MAR
BGD,MDA
BGD,MDG
BGD,MDV
BGD,MEX
BGD,MLI
BGD,MMR
BGD,MNG
BGD,MOZ
BGD,MUS
BGD,MWI
BGD,MYS
BGD,NAM
BGD,NGA
BGD,NLD
BGD,NOR
BGD,NPL
BGD,NZL
BGD,OMN
BGD,PAK
BGD,PHL
BGD,POL
BGD,PRK
BGD,PRT
BGD,PSE
BGD,QAT
BGD,RUS
BGD,RWA
BGD,SAU
BGD,SDN
BGD,SGP
BGD,SLE
BGD,SOM
BGD,SRB
BGD,SVK
BGD,SWE
BGD,SYC
BGD,SYR
BGD,TCD
BGD,THA
BGD,TJK
BGD,TKM
BGD,TTO
BGD,TUN
BGD,TUR
BGD,TWN
BGD,TZA
BGD,UGA
BGD,UKR
BGD,USA
BGD,UZB
BGD,VAT
BGD,VEN
BGD,VNM
BGD,YEM
BGD,ZAF
BGD,ZMB
BGD,ZWE
BGR,AFG
BGR,AGO
